artist_name,id
Coldplay,4645
Daft Punk,4631
Rihanna,4092
David Guetta,3861
Calvin Harris,3732
JAY Z,3646
Katy Perry,3591
Avicii,3530
Michael Jackson,3476
Kanye West,3447
Maroon 5,3432
Eminem,3247
Queen,3177
Radiohead,3142
Lana Del Rey,3139
Ellie Goulding,3127
Beyoncé,3124
Imagine Dragons,3100
Bruno Mars,3019
The Rolling Stones,3005
David Bowie,2990
The Killers,2934
Pitbull,2898
Lady Gaga,2862
Florence + The Machine,2856
Muse,2850
Arctic Monkeys,2833
Justin Timberlake,2809
U2,2752
Ed Sheeran,2750
Foo Fighters,2709
Mumford & Sons,2705
M83,2702
The Black Keys,2687
Nirvana,2641
Adele,2622
Lorde,2577
Kings Of Leon,2576
The xx,2576
Macklemore & Ryan Lewis,2551
OneRepublic,2534
Madonna,2504
Foster The People,2500
MGMT,2499
Flo Rida,2492
The Cure,2426
Drake,2423
Britney Spears,2402
Red Hot Chili Peppers,2387
Pharrell Williams,2373
Sia,2347
Phoenix,2345
Snoop Dogg,2312
Of Monsters and Men,2303
Swedish House Mafia,2298
Johnny Cash,2294
R.E.M.,2288
Vampire Weekend,2282
Nicki Minaj,2274
Bob Dylan,2265
The Black Eyed Peas,2259
Bruce Springsteen,2259
Usher,2245
Stevie Wonder,2244
Green Day,2243
Blur,2233
The Strokes,2224
Beck,2220
Two Door Cinema Club,2206
Elton John,2186
Guns N' Roses,2180
Shakira,2179
Marvin Gaye,2179
Jason Derulo,2168
Bastille,2160
John Legend,2148
Fun.,2136
Weezer,2136
Bon Iver,2127
Disclosure,2119
P!nk,2119
Gotye,2115
Gorillaz,2105
Elvis Presley,2083
Chris Brown,2078
Arcade Fire,2071
OutKast,2061
Various Artists,2059
Pearl Jam,2052
The Lumineers,2044
Passion Pit,2036
Mark Ronson,2035
Depeche Mode,2021
Oasis,1984
The White Stripes,1975
The Smiths,1972
Yeah Yeah Yeahs,1968
The Smashing Pumpkins,1958
John Mayer,1955
Bob Marley & The Wailers,1951
Fleetwood Mac,1950
