track_name,artist_name,count
Midnight City,M83,2609
Get Lucky - Radio Edit,Daft Punk,2341
Radioactive,Imagine Dragons,2336
Little Talks,Of Monsters and Men,2254
Wake Me Up,Avicii,2242
Royals,Lorde,2219
Ho Hey,The Lumineers,2180
Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,2066
Pompeii,Bastille,2014
Blurred Lines,Robin Thicke,1996
Pumped up Kicks,Foster The People,1903
We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,Fun.,1855
Smells Like Teen Spirit,Nirvana,1842
Somebody That I Used To Know,Gotye,1807
Do I Wanna Know?,Arctic Monkeys,1790
Let Her Go,Passenger,1779
Sweet Disposition,The Temper Trap,1709
Kids,MGMT,1702
Rather Be (feat. Jess Glynne),Clean Bandit,1701
Counting Stars,OneRepublic,1696
Mr. Brightside,The Killers,1679
Uptown Funk,Mark Ronson,1668
We Found Love,Rihanna,1626
Sail,AWOLNATION,1564
Locked Out Of Heaven,Bruno Mars,1559
Latch,Disclosure,1552
Creep,Radiohead,1530
Lonely Boy,The Black Keys,1521
I Will Wait,Mumford & Sons,1509
Song 2,Blur,1491
Seven Nation Army,The White Stripes,1482
Wonderwall,Oasis,1482
Chandelier,Sia,1477
Ni**as In Paris,JAY Z,1472
Sweet Child O' Mine,Guns N' Roses,1465
Fix You,Coldplay,1457
Don't Stop Believin',Journey,1444
Mirrors,Justin Timberlake,1436
Call Me Maybe,Carly Rae Jepsen,1430
Take Me Out,Franz Ferdinand,1428
Roar,Katy Perry,1424
Riptide,Vance Joy,1382
"Hold On, We're Going Home",Drake,1367
Summer,Calvin Harris,1367
Young Blood,The Naked And Famous,1365
What You Know,Two Door Cinema Club,1361
Skinny Love,Bon Iver,1355
Timber,Pitbull,1349
Dog Days Are Over,Florence + The Machine,1342
Don't You Worry Child (Radio Edit) [feat. John Martin],Swedish House Mafia,1335
Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5,1334
Home,Edward Sharpe & The Magnetic Zeros,1334
Happy,Pharrell Williams,1327
Everlong,Foo Fighters,1313
Intro,The xx,1307
Use Somebody,Kings Of Leon,1300
Breezeblocks,alt-J,1293
Uprising,Muse,1290
Billie Jean - Single Version,Michael Jackson,1274
Burn,Ellie Goulding,1272
Thinking Out Loud,Ed Sheeran,1265
Stay With Me,Sam Smith,1244
All of Me,John Legend,1243
Hey Ya! - Radio Mix / Club Mix,OutKast,1223
Paper Planes,M.I.A.,1220
All About That Bass,Meghan Trainor,1219
Take a Walk,Passion Pit,1218
Losing My Religion,R.E.M.,1212
Party Rock Anthem,LMFAO,1204
Stolen Dance,Milky Chance,1197
Lisztomania,Phoenix,1178
Fancy,Iggy Azalea,1156
Rolling In The Deep,Adele,1149
Eye of the Tiger,Survivor,1142
The Funeral,Band of Horses,1139
Sweater Weather,The Neighbourhood,1137
Waves - Robin Schulz Radio Edit,Mr. Probz,1135
The Mother We Share,CHVRCHES,1134
I'm Yours,Jason Mraz,1130
Friday I'm In Love,The Cure,1122
Love The Way You Lie,Eminem,1121
I Gotta Feeling,The Black Eyed Peas,1119
I Love It (feat. Charli XCX) - Original Version,Icona Pop,1114
Chasing Cars,Snow Patrol,1113
Bangarang (feat. Sirah),Skrillex,1111
Last Nite,The Strokes,1108
Zombie,The Cranberries,1103
Africa,Toto,1096
Basket Case,Green Day,1093
Where Is My Mind?,Pixies,1092
Under The Bridge,Red Hot Chili Peppers,1090
Scream & Shout,will.i.am,1087
Feel Good Inc,Gorillaz,1065
Take Me To Church,Hozier,1064
Walking On A Dream,Empire Of The Sun,1059
Video Games,Lana Del Rey,1047
1979,The Smashing Pumpkins,1045
We Can't Stop,Miley Cyrus,1044
Hurt,Johnny Cash,1041
Rude,Magic!,1038
Black Skinhead,Kanye West,1033
